E;BKE022508SES00000004;NEW TEST ;1;BKE02;;;;;;;;;;
L;BKE022508SES00000004;BKE022508INV00000008;1;BKE02;;;;;;;;;;
S;BKE022508SES00000004;BKE022508INV00000008;1000;BKE02;0;0;2;17CH15A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;2000;BKE02;0;0;2;17CH15GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;3000;BKE02;0;0;2;17CH202/6GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;4000;BKE02;0;0;2;17CH20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;5000;BKE02;0;0;2;17CR1V07A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;6000;BKE02;0;0;2;17CR1V07GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;7000;BKE02;0;0;2;17CR1V102/6A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;8000;BKE02;0;0;2;17CR1V102/6A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;9000;BKE02;0;0;2;17CR1V10A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;10000;BKE02;0;0;2;17CR1V10A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;11000;BKE02;0;0;2;17CR1V10B40GAM;;A;UN;58,65;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;12000;BKE02;0;0;2;17CR1V10B60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;13000;BKE02;0;0;2;17CR1V10GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;14000;BKE02;0;0;2;17CR1V10L40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;15000;BKE02;0;0;2;17CR1V10SODGAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;16000;BKE02;0;0;2;17CR1V12GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;17000;BKE02;0;0;2;17CR1V152/6A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;18000;BKE02;0;0;2;17CR1V152/6COFGAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;19000;BKE02;0;0;2;17CR1V15A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;20000;BKE02;0;0;2;17CR1V15A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;21000;BKE02;0;0;2;17CR1V15ANGA650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;22000;BKE02;0;0;2;17CR1V15ANGLEGAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;23000;BKE02;0;0;2;17CR1V15B40A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;24000;BKE02;0;0;2;17CR1V15B40ANGGAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;25000;BKE02;0;0;2;17CR1V15B40GAM;;A;UN;73,6;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;26000;BKE02;0;0;2;17CR1V15B40L40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;27000;BKE02;0;0;2;17CR1V15B60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;28000;BKE02;0;0;2;17CR1V15COFGAM;;A;UN;349,93026;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;29000;BKE02;0;0;2;17CR1V15GAM;;A;UN;0;BKE2;
